,text,labels,article_name
0,"Steeds meer voorstanders van de bouw van kolenvergassers roeren zich. De Gasunie zou liever gisteren dan vandaag een vergasser in het Eemshavengebied hebben staan. Volgend jaar moet - als alles meezit - de bouw van een gigantische kolengasfabriek starten pm einde 1984 per uur ruim driehonderdduizend kubieke meter kolengas te kunnen produceren. Kolengas is alleen rendabel als het in grote hoeveelheden wordt gemaakt. De fabriek in de Eemshaven zou drie steden met de omvang van Groningen van gas kunnen voorzien. De bouwkosten bedragen ongeveer 1 miljard gulden. Kolenvergassing in grote installaties is een bekend procédé, alleen is er nog niet veel ervaring mee opgedaan. Er staan momenteel proefinstallaties bij Shell Research in Amsterdam, bij TNO in Apeldoorn en bij het Energie Centrum Nederland in Petten. Ook zijn er demonstratieprojecten aan de Eemshaven van de Gasunie, op de Maasvlakte van het Gemeentebedrijf Rotterdam en de Kema en bij Moerdijk van Shell. Volgens het ministerie var. Economische Zaken is er nog geen concrete raming van het steenkoolverbruik voor vergassingsinstallaties te geven. Gedacht zou kunnen worden aan drie vergassingsinstallaties in 1990. De installaties",2,DDD_010570752_0497_articletext.xml
1,"HEERENVEEN - De animo voor gedroogd groenvoer is vorig jaar opnieuw gestegen. De productie van de veertien drogerijen, ondergebracht in de Vereniging van Nederlandse Groenvoederdrogenjen, steeg in 1985 tot bijna 188.000 ton. In vergelijking met het jaar daarvoor betekent dat een toename van 7000 ton. Niet in de laatste plaats is die groei te danken aan het wat al te regenrijke grasseizoen. „Als wij ooit het nut van ons bestaan hebben bewezen dan gebeurde dat wel in 1985,'1 sprak U.J.Roelofs, voorzitter van de VNG, gisteravond in het Postiljon Motel te Heerenveen tijdens de jaarvergadering. . I Hoe de meteorologische omstandigheden dit jaar ook zullen zijn, de VNG voorziet hoe dan ook een verdere verbetering van de positie van haar leden. „We produceren namelijk iets dat in Europa niet veel voorradig is. Er bestaat nog altijd een tekort aan eiwitproducten,"" aldus Roelofs, die dan ook niet verwacht dat de EG-subsidie op gedroogde groenvoeders spoedig zal verdwijnen. Vorig jaar ontvingen de gezamenlijke drogerijen van de Europese Gemeenschap een subsidie van in totaal 76 miljoen ecu. De VNG-leden betaalden in 1985 een gemiddelde droogprijs van f20,65 per honderd kilo. „Met dergelijke prijzen kunnen wij de concurrentie met inkuilen van gras en de aankoop van krachtvoeder volledig aan,"" aldus de ambtelijk secretaris van de VNG, L.A.M. Elenbaas uit Scherpenisse. Overigens vinden' de gezamenlijke drogerijen dat met name in Nederland het verbruik nog te gering is: vorig jaar 203.000 ton tegen 207.000 ton in 1984. „Dit cijfer zou in de komende vijfjaar met 10.000 ton per jaar moeten en kunnen toenemen, aldus secretaris Elenbaas. Om dat doel te bereiken start de VNG dit voorjaar in samenwerking met de Cebeco Handelsraad een ad-' vertentiecampagne waarin de drogerijproducten bij de veehouders worden aangeprezen. Groot probleem voor de drogers is het zogenaamde asgehalte in het eindproduct. Gemiddeld bevatte een kilo droge stof vorig jaar 172 gram grond, „en dat is echt teveel,"" oordeelde A.Ensing van het Bedrijfslaboratorium Noord-Nederland. Hij betreurde deze nieuwe stijging en vroeg de drogers: „Zijn er geen technische voorzieningen mogelijk om er wat grond uit te krijsen? Probeert u het, (het loont de moeite. Steeds meer groenvoerdrogerijen blijken over te stappen van aardgas op kolen. Weliswaar daalden tussen het tweede kwartaal van 1985 en het tweede kwartaal van dit jaar de aardgasprijzen met twintig cent per kubieke meter, de kolenprijzen daalden mee. „Het stoken van kolen blijft dan pok voordeliger,"" concludeerde secretaris Elenbaas. Landbouwproducten in Wageningen. Ir. H.J.Leutscher van het IBVL informeerde de voerdrogers gisteravond over de stand van zaken. ..Duidelijk is dat de enige kans op gezonde, concurrerende bedrijfsvoering ligt in de overschakeling op een kolenstookinstallatie. Andere brandstoffen lijken voor Nederland vooralsnog niet acceptabel, hetzij vanwege de kosten, hetzij om milieutechnische redenen,"" aldus ir. Leutscher. Nu het overgrote deel van de drogers inmiddels met succes op kolen is overgeschakeld begon ook een intensiever onderzoek naar de mogelijkheden van energiebesparing. Dit onderzoek, gesubsidieerd door het ministerie van economische zaken en uitgestrekt over drie seizoenen, is nog in volle gang. De afronding ervan wordt volgend voorjaar verwacht.",2,DDD_010566039_0349_articletext.xml
2,"Methanol kan worden vervaardigd uit steenkool en aardgas. De regering schat dat het steenkoolgebruik in ons land in het jaar 2000 dertig miljoen ton zal bedragen. Hiervan zal, zo schatten de TNO-medewerkers, ongeveer 5 miljoen ton nodig zijn om alle auto's voor 100 procent op alcohol te laten rijden.",2,DDD_010960719_0140_articletext.xml
3,"Omdat gas, waterkracht, olie en bruinkool om uiteenlopende redenen niet in aanmerking komen om dit gat te vullen, blijven slechts steenkolen en kernenergie als alternatieven over. Kolen worden in de Bondsrepubliek echter met de dag duurder en schaarser en ook het de klok rond stoken met kolen in elektriciteitscentrales is om bedrijfstechnische redenen een dure zaak. Volgens de gegevens waarover het ministerie van Economische Zaken in Bonn nu beschiit, is elektriciteit uit een kerncentrale, zoals die in",2,DDD_011205050_0267_articletext.xml
4,"Deze cijfers werden gisteren meegedeeld in Den Haag door Shell-president drs. D. In de op 21 mei a.s. te houden jaarvergadering zal worden voorgesteld Robert S. Mc Nam ara met ingang van 1 juli tot commissaris van de Koninklijke Shell Groep te benoemen . McNamara was tot voor kort president van de Wereldbank. Daarvoor was hij o.a. minister van Defensie in de Verenigde Staten en president-directeurvan het auto-concern Ford. de Bruyne, tijdens een toelichting op een aantal kerngegevens uit het op 24 april verschijnende jaarverslag. Zoals gewoonlijk heeft Shell uitgerekend wat het nettoresultaat is als men het effect van de methode van voorraad waardering en valutaomrekening elimineert. Dan komt de nettowinst uit op £ 1520 miljoen tegen £ 1755 miljoen in 1979, een daling van 13 %. De heer De Bruyne noemde een groot aantal redenen voor deze daling. Ten eerste daalde de vraag naar olie in de westerse wereld vorig jaar met 5 % onder invloed van de recessie en energiebesparende maatregelen. Voor dit jaar wordt een daling van de vraag verwacht van nog eens 4 % .Dan is de post belastingen nogal sterk gestegen van 2,6 miljard pond in 1979 tot ruim drie miljard pond over het vorige jaar.De concurrentie had het voordeel te beschikken over ruwe olie uit Saoedi-Arabië, die in 1980 al gemiddeld $ 2 per vat goedkoper was dan andere olie ' uit het Midden-Oosten.Dat prijsverschil is nu al opgelopen tot $ 4. Daarnaast ging het bijzonder slecht in de sector chemie: werd in 1979 daar nog een winst geboekt van(geeorrigeerd) 137 miljoen pond sterling, over 1980 werd een verlies geleden van ongeveer 77 miljoen pond. In Nederland werd over het vorige jaar in de chemie een verlies geleden van ƒ 100 miljoen terwijl over 1979 diezelfde ƒ 100 miljoen werd verdiend. ""En het ziet er niet naar uit dat daar de eerste paar jaar een verandering ten goede in komt,"" aldus drs. De Bruyne. De chemie kampt met sterk stijgende kosten van grondstoffen die wegens de recessie niet kunnen worden doorberekend. Vooral het vierde kwartaal van vorig jaar verliep voor Shell minder gunstig, omdat de winstmarges onder druk kwamen De geschoonde winst kwam uit op 283 miljoen pond tegen 379 miljoen pond in het laatste kwartaal van 1979. Ook de afzet van aardgas daalde (met 7 % )maar de prijsstijging maakte dat meer dan goed. In de sector metalen werd ook de weerslag van de recessie ondervonden zodat de winst hier daalde van 22 miljoen pond tot 10 miljoen pond. Beter ging het met de handel in kolen. De internationaal verhandeldehoeveelheid steenkool nam toe met met 40 % tot 7,9 miljoen ton. Toch werd nog een aanloopverlies geleden van 25 miljoen pond ( v.j. 33 miljoen ). Binnen enkele jaren verwacht Shell uit het verlies te zijn. Goed gingen de zaken eveneens in de VS en Canada, waar de resultaten van Shell Oil en Shell Canada op dollarbasis met 37 % omhoog gingen. De produktie van het overgenomen olieconcern Belridge steeg met 26 %. Shell is nu de grootste benzineverkoper in de VS. De investeringen beliepen in 1980 een bedrag van 2927 miljoen pond, dat is 24 % meer dan in 1979. Shell verwacht dan ook dat vooral de olie- en aardgasproduktie uit de Noordzee sterk zal toenemen in de komende jaren. Uit Iran worden sinds enige tijd al weer 100.000 vaten olie per dag geïmporteerd. Wat betreft de vooruitzichten bleef drs. De Bruyne voorzichtig. ""Er is op het moment voldoende olie aanwezig en dat blijft nog wel even zo tenzij enkele producenten hun produktie gaan beperken. Maar dat zal niet leiden tot belangrijke prijsdalingen, hoogstens zal hier en daar de opslag op de officiele OPECprijs vervallen. De vraag naar energie blijft dalen en onze marges staan nog steeds onder druk. Het wordt een gemiddeld jaar met enkele problemen.""",2,DDD_011205057_0405_articletext.xml
5,"Deze cijfers werden gisteren meegedeeld in Den Haag door Shell-president drs. D. In de op 21 mei a.s. te houden jaarvergadering zal worden voorgesteld Robert S. Mc Nam ara met ingang van 1 juli tot commissaris van de Koninklijke Shell Groep te benoemen . McNamara was tot voor kort president van de Wereldbank. Daarvoor was hij o.a. minister van Defensie in de Verenigde Staten en president-directeurvan het auto-concern Ford. de Bruyne, tijdens een toelichting op een aantal kerngegevens uit het op 24 april verschijnende jaarverslag. Zoals gewoonlijk heeft Shell uitgerekend wat het nettoresultaat is als men het effect van de methode van voorraad waardering en valutaomrekening elimineert. Dan komt de nettowinst uit op £ 1520 miljoen tegen £ 1755 miljoen in 1979, een daling van 13 %. De heer De Bruyne noemde een groot aantal redenen voor deze daling. Ten eerste daalde de vraag naar olie in de westerse wereld vorig jaar met 5 % onder invloed van de recessie en energiebesparende maatregelen. Voor dit jaar wordt een daling van de vraag verwacht van nog eens 4 % .Dan is de post belastingen nogal sterk gestegen van 2,6 miljard pond in 1979 tot ruim drie miljard pond over het vorige jaar.De concurrentie had het voordeel te beschikken over ruwe olie uit Saoedi-Arabië, die in 1980 al gemiddeld $ 2 per vat goedkoper was dan andere olie ' uit het Midden-Oosten.Dat prijsverschil is nu al opgelopen tot $ 4. Daarnaast ging het bijzonder slecht in de sector chemie: werd in 1979 daar nog een winst geboekt van(geeorrigeerd) 137 miljoen pond sterling, over 1980 werd een verlies geleden van ongeveer 77 miljoen pond. In Nederland werd over het vorige jaar in de chemie een verlies geleden van ƒ 100 miljoen terwijl over 1979 diezelfde ƒ 100 miljoen werd verdiend. ""En het ziet er niet naar uit dat daar de eerste paar jaar een verandering ten goede in komt,"" aldus drs. De Bruyne. De chemie kampt met sterk stijgende kosten van grondstoffen die wegens de recessie niet kunnen worden doorberekend. Vooral het vierde kwartaal van vorig jaar verliep voor Shell minder gunstig, omdat de winstmarges onder druk kwamen De geschoonde winst kwam uit op 283 miljoen pond tegen 379 miljoen pond in het laatste kwartaal van 1979. Ook de afzet van aardgas daalde (met 7 % )maar de prijsstijging maakte dat meer dan goed. In de sector metalen werd ook de weerslag van de recessie ondervonden zodat de winst hier daalde van 22 miljoen pond tot 10 miljoen pond. Beter ging het met de handel in kolen. De internationaal verhandeldehoeveelheid steenkool nam toe met met 40 % tot 7,9 miljoen ton. Toch werd nog een aanloopverlies geleden van 25 miljoen pond ( v.j. 33 miljoen ). Binnen enkele jaren verwacht Shell uit het verlies te zijn. Goed gingen de zaken eveneens in de VS en Canada, waar de resultaten van Shell Oil en Shell Canada op dollarbasis met 37 % omhoog gingen. De produktie van het overgenomen olieconcern Belridge steeg met 26 %. Shell is nu de grootste benzineverkoper in de VS. De investeringen beliepen in 1980 een bedrag van 2927 miljoen pond, dat is 24 % meer dan in 1979. Shell verwacht dan ook dat vooral de olie- en aardgasproduktie uit de Noordzee sterk zal toenemen in de komende jaren. Uit Iran worden sinds enige tijd al weer 100.000 vaten olie per dag geïmporteerd. Wat betreft de vooruitzichten bleef drs. De Bruyne voorzichtig. ""Er is op het moment voldoende olie aanwezig en dat blijft nog wel even zo tenzij enkele producenten hun produktie gaan beperken. Maar dat zal niet leiden tot belangrijke prijsdalingen, hoogstens zal hier en daar de opslag op de officiele OPECprijs vervallen. De vraag naar energie blijft dalen en onze marges staan nog steeds onder druk. Het wordt een gemiddeld jaar met enkele problemen.""",2,DDD_011205057_0405_articletext.xml
6,"WARSCHAU - Polen heeft dit jaar al meer dan 23 miljoen ton kolen geëxporteerd. Als deze tendens zich voortzet dan zal 1984 een recordjaar worden. De grootste export tot nog toe werd bereikt in 1979, toen het Oosteuropese land 41.4 miljoen ton kolen aan het buitenland verkocht. Van de huidige export van 23 miljoen ton kolen is 14.5 miljoen ton verkocht aan buitenlandse afnemers die in harde valuta's betalen.",2,DDD_010565472_0250_articletext.xml
7,"In de Nederlandse centrales wordt vooral olie (41 procent) en'aardgas (34 procent) gestookt. Kolen, als brandstof voor elektriciteitsopwekking, nemen 21 procent voor hun rekening en uranium (kernenergie) 4 procent. Deze percentages zijn ■ gebaseerd op brandstofverbruikcijfers in het eerste kwartaal van dit jaar. Om een ruimer gebruik van kolen te kunnen maken zijn twee grote elektriciteitscentrales in Geertruidenberg en in Nijmegen nu voor dit doel beschikbaar, terwijl enkele andere voor het gebruik van kolen worden omgebouwd of waar vergaande plannen voor deze overschakeling bestaan.' Het betreft de twee centrales op de Maasvlakte, de centrale in Borssele en de Flevocentrale.",2,DDD_011010583_0318_articletext.xml
8,"UTRECHT — Het partijbestuur van het CDA heeft gisteravond nog geen beslissing genomen over de vraag of er meer kerncentrales in ons land moeten komen. Het partijbestuur wijst een uitbreiding niet principieel af, maar vindt het noodzakelijk dat eerst de discussie in de partij wordt voortgezet. CDA-voorzitter Piet Bukman verklaarde dat gisteravond na afloop van een partijbestuursvergadering. Gediscussieerd werd over een rapport van een werkgroep uit de CDA waarin staat dat het aandeel van kernenergie in de energievoorziening moet worden vergroot. Volgens deze werkgroep is het afvalprobleem van fossiele brandstoffen (kolen, olie etc.) groter dan dat van kernenergie. Het partijbestuur van het CDA vindt dat over een mogelijke uitbreiding van het aantal kerncentrales snel moet worden nagedacht nu het probleem van •' de zure regen steeds groter wordt. \Er zou een terughoudend beleid moeten worden gevoerd ten aanzien van de inzet van steenkool , en aardgas. '■ ■ • ■■- ..'-/",0,DDD_010961859_0194_articletext.xml
9,",Het is in het kader van de mij toegemeten ruimte niet mogelijk utvoerig in te gaan op al die energiebronnen. Daarom kortheidshalve dit: van ""de fossiele brandstof is steenkool het overvloedigst aanwezig. Gas en olie zijn gemakkelijker winbaar, maar sneller uitgeput. Een vraag die ook beantwoord dient te worden: kan steenkool de groeiende energiebehoefte opvangen? En: leren landen die geen steenkool hebben zich afhankelijk te stellen van grote importen? En hoe staat het met de milieu- en volksgezondheidseisen bij de winning van fossiele brandstoffen? Voor wat betreft oliej is het zo. langzamerhand duidelijk dat tal van landen wat minder afhankelijk willen zijn van de olieproducerende landen in het Middenoosten. Het is nodig dat we ons richten op zogenaamde diversificatie van energie, opdat we ons niet afhankelijk maken van één energiebron. Dat zou ook van belang zijn voor die Derde Wereld, om-' dat juist voor die wereld de olieprijzen nu al niet meer te betalen zijn.",2,DDD_011008422_0440_articletext.xml
